src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_std,flag_syn_count,flag_ack_count,flag_fin_count,flag_rst_count,flag_psh_count,flag_urg_count,fwd_avg_bytes_per_pkt,bwd_avg_bytes_per_pkt,active_mean,idle_mean,port_scan_score,mean_ttl,mean_tcp_window,payload_entropy,label,dataset_source
192.168.1.106,10.0.0.83,23269,23682,6,54.4625714667179,836,69,12348,28087,742.4364827266712,16.6169164552402,0.757016911688851,0.49041935707184686,1.9765611054278962,0.22898323903020343,0.39651868617874214,0.22619707087974047,22,315,1,1,13,0,14.770334928229666,407.05797101449275,4.396956747989742,11.762111516059317,0.008078942806967611,63.63514609182121,33530.648868834185,5.755846315543214,BENIGN,BENIGN
192.168.1.56,10.0.0.251,20045,6857,17,111.76918964038357,486,334,12528,36762,440.99809758476516,7.336547778849816,0.09871838158519393,0.20365961797063542,0.9834397235877967,0.14441279076160693,0.38338786088375754,0.19023354019943667,71,32,20,9,6,0,25.77777777777778,110.06586826347305,1.5451340786470507,9.307566813909565,0.012704753470691145,71.95153143233432,53564.3720813396,3.368086236012801,BENIGN,BENIGN
192.168.1.223,10.0.0.118,37431,15732,17,89.67963061202383,500,388,35358,4,394.31473745676675,9.90191411293504,0.6173274749725454,0.4562041200613683,0.7765509304074067,0.44847837566431553,0.07273382929882272,0.4115941911196249,31,120,37,5,53,3,70.716,0.010309278350515464,0.6519112405741496,9.89011562236339,0.0069134985923645555,63.56800703949651,23511.944730679985,0.7201631338256167,BENIGN,BENIGN
192.168.1.107,10.0.0.183,39989,36721,17,6.900823183595525,251,155,27711,2457,4371.652366302424,58.83356075042376,0.33295405193555533,0.3958071848873202,0.1007428098084933,0.16211339254665813,0.6292541746314391,0.38592978919984194,67,481,28,5,83,1,110.40239043824701,15.851612903225806,4.949194249015741,22.659627150640038,0.19417973252602913,71.1114899968889,29006.19644043,2.4378420807567807,BENIGN,BENIGN
192.168.1.123,10.0.0.69,19908,28051,17,58.245800150634615,810,81,97968,33495,2257.0382698840417,15.297240276478409,0.44732275442893704,0.43558359613749564,1.699650385233212,0.13074570277933864,0.6115976089968452,0.007423040613668264,72,285,43,7,64,3,120.94814814814815,413.51851851851853,4.776573201579756,16.60433834097259,0.024722812568045913,103.95025424920112,8321.282757932639,6.905084227924104,BENIGN,BENIGN
192.168.1.207,10.0.0.66,31550,3682,17,89.02745382626895,773,150,38376,22153,679.8913975246135,10.367588427286396,0.7079139887039803,0.33375210560318413,1.1175655483414468,0.00680293482492692,0.6249987131906223,0.0676553597478167,46,57,12,7,67,4,49.64553686934023,147.68666666666667,8.632479971159729,1.949535960183284,0.010333890956775173,65.70719921154571,41266.49866221754,1.6460591257258566,BENIGN,BENIGN
192.168.1.71,10.0.0.195,35150,49149,6,8.991281722538586,674,479,75558,44331,13333.916531552157,128.23533235642665,0.002527095405992496,0.23164610041797348,1.9268758946137745,0.4500272927479195,0.024745571105156704,0.40397810159276193,65,144,3,4,28,0,112.10385756676558,92.54906054279749,5.49645524558275,0.12376278195579432,0.14458450309050708,119.03966610304721,27191.589575106693,6.388551138280269,BENIGN,BENIGN
192.168.1.71,10.0.0.124,38062,51114,17,4.968824564538059,273,19,53055,49765,20693.02279935878,58.766413707574046,0.410863060456389,0.39277288109069375,0.7222983067244254,0.3830427335808657,0.3221699042967846,0.2810728938158623,89,437,13,6,43,2,194.34065934065933,2619.2105263157896,9.276826899941348,24.821199002147527,0.3582336178064445,74.58186369816644,37603.79449002273,4.138196957225222,BENIGN,BENIGN
192.168.1.200,10.0.0.242,25071,64117,6,35.98136325284196,816,120,12240,34034,1286.0546632108244,26.013466844563506,0.7057266843892638,0.03840990385331009,1.0232330962064706,0.02170210730734649,0.5088251269567656,0.17259722308168732,13,338,18,8,20,1,15.0,283.6166666666667,4.904010805848134,8.587284564425138,0.007225963012378752,43.4887987293112,14253.875889793046,1.560709385404417,BENIGN,BENIGN
192.168.1.209,10.0.0.129,42555,28379,17,43.06814436568778,507,409,23632,26087,1154.426333715249,21.268620078504558,0.33764765429145227,0.4355721018696006,0.9906874327293328,0.13031083234348986,0.16210656450409983,0.374149166989972,70,240,0,8,63,3,46.61143984220907,63.78239608801956,8.738945185986754,18.497025203554628,0.0325066245741336,122.3180325067054,6251.585080440819,2.0297704171136566,BENIGN,BENIGN
