src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_std,flag_syn_count,flag_ack_count,flag_fin_count,flag_rst_count,flag_psh_count,flag_urg_count,fwd_avg_bytes_per_pkt,bwd_avg_bytes_per_pkt,active_mean,idle_mean,port_scan_score,mean_ttl,mean_tcp_window,payload_entropy,label,dataset_source
192.168.1.105,142.250.190.46,53724,80,6,0.688,27,11,7263,12936,3999.59,55.23,0.0902,0.0063,0.1265,0.0106,0.015,0.0139,1,20,1,0,4,0,254.31,630.34,0.819,0.523,1,64.0,64240.0,5.676,BENIGN,lab_timeline_baseline
192.168.1.105,192.168.1.1,60181,443,6,0.617,12,7,3228,1743,10738.33,30.79,0.0782,0.0205,0.1426,0.0018,0.0973,0.0106,1,15,1,0,1,0,486.43,846.46,0.638,3.516,1,64.0,64240.0,5.059,BENIGN,lab_timeline_baseline
192.168.1.105,142.250.190.46,51766,80,6,1.955,25,10,13400,2660,10742.9,17.9,0.0961,0.0425,0.1069,0.0078,0.1373,0.0366,1,5,1,0,5,0,544.48,580.73,0.283,2.118,1,64.0,64240.0,4.229,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,56657,53,17,1.962,14,27,1750,19062,11226.79,20.9,0.0226,0.0461,0.2485,0.0146,0.0504,0.0275,0,0,0,0,4,0,200.01,225.67,0.758,2.386,1,64.0,0.0,5.517,BENIGN,lab_timeline_baseline
192.168.1.105,192.168.1.1,53684,53,17,0.626,16,14,17648,14980,4090.92,47.92,0.019,0.0099,0.2696,0.016,0.0902,0.0079,0,0,0,0,4,0,517.12,521.24,0.289,2.436,1,64.0,0.0,6.045,BENIGN,lab_timeline_baseline
192.168.1.105,142.250.190.46,60298,53,17,0.74,21,27,6048,17847,11999.6,64.86,0.0962,0.0479,0.3565,0.006,0.1051,0.013,0,0,0,0,1,0,709.36,368.6,0.657,2.631,1,64.0,0.0,3.913,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,59773,53,17,2.304,28,19,29680,1881,4572.96,20.4,0.079,0.0493,0.3324,0.0055,0.0558,0.0305,0,0,0,0,1,0,159.96,537.39,0.116,3.162,1,64.0,0.0,5.568,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,63017,53,17,0.496,19,20,9367,23280,19371.1,78.63,0.1411,0.0371,0.1896,0.0138,0.0809,0.0455,0,0,0,0,4,0,184.7,302.23,0.371,2.559,1,64.0,0.0,4.121,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,56653,80,6,1.615,6,25,1188,3100,21771.61,19.2,0.0235,0.0157,0.2841,0.0051,0.0351,0.0471,1,18,1,0,2,0,649.23,826.75,0.231,0.839,1,64.0,64240.0,4.664,BENIGN,lab_timeline_baseline
192.168.1.105,192.168.1.1,52376,443,6,0.23,18,26,3312,22984,18748.91,191.3,0.1621,0.0099,0.1171,0.0112,0.0366,0.0133,1,17,1,0,2,0,712.14,167.85,0.818,3.496,1,64.0,64240.0,3.764,BENIGN,lab_timeline_baseline
192.168.1.105,142.250.190.46,65065,80,6,0.499,28,10,29260,4970,21886.96,76.15,0.1815,0.0124,0.0508,0.0084,0.186,0.0403,1,12,1,0,4,0,587.61,757.45,0.794,2.817,1,64.0,64240.0,4.814,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,51149,443,6,1.49,10,4,7020,708,3153.27,9.4,0.1006,0.0464,0.2359,0.0021,0.1065,0.0433,1,5,1,0,5,0,147.57,875.64,0.434,3.796,1,64.0,64240.0,5.038,BENIGN,lab_timeline_baseline
192.168.1.105,142.250.190.46,59518,53,17,1.678,6,16,3564,7648,17403.7,13.11,0.0697,0.017,0.0958,0.0133,0.0969,0.0468,0,0,0,0,1,0,106.52,659.04,0.585,0.85,1,64.0,0.0,4.952,BENIGN,lab_timeline_baseline
192.168.1.105,8.8.8.8,61260,80,6,2.21,15,5,9645,1915,12078.25,9.05,0.1132,0.0186,0.3943,0.0163,0.1105,0.0351,1,20,1,0,3,0,752.23,193.23,0.884,1.426,1,64.0,64240.0,5.902,BENIGN,lab_timeline_baseline
192.168.1.105,1.1.1.1,60387,443,6,0.606,13,22,6188,29876,21616.99,57.76,0.106,0.0163,0.3679,0.002,0.1305,0.0423,1,4,1,0,1,0,333.49,217.74,0.981,1.066,1,64.0,64240.0,4.693,BENIGN,lab_timeline_baseline
192.168.1.105,192.168.1.45,49468,21,6,0.215,1,0,220,57,872.64,24.68,0.008,0.003,0.0272,0.0006,0.0,0.0,2,0,0,0,0,0,54.0,0.0,0.01,0.05,1,64.0,1024.0,2.298,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.25,52520,22,6,0.071,3,1,202,47,886.38,140.88,0.0174,0.0049,0.0424,0.0018,0.0,0.0,1,0,0,0,0,0,54.0,0.0,0.01,0.05,2,64.0,1024.0,1.973,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.36,57283,23,6,0.106,3,0,223,6,1456.35,25.03,0.0099,0.0014,0.0467,0.001,0.0,0.0,1,0,0,0,0,0,54.0,0.0,0.01,0.05,3,64.0,1024.0,0.547,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.31,58281,25,6,0.066,1,1,133,41,1773.51,108.34,0.017,0.002,0.0111,0.0018,0.0,0.0,2,0,0,0,0,0,54.0,0.0,0.01,0.05,4,64.0,1024.0,1.661,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.12,52704,53,6,0.295,4,1,230,50,1284.19,98.81,0.0107,0.0022,0.0331,0.0009,0.0,0.0,3,0,0,1,0,0,54.0,0.0,0.01,0.05,5,64.0,1024.0,0.503,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.44,55608,80,6,0.278,3,1,61,60,2160.59,62.93,0.007,0.0043,0.0388,0.001,0.0,0.0,2,0,0,1,0,0,54.0,0.0,0.01,0.05,6,64.0,1024.0,1.152,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.45,53322,110,6,0.212,2,1,214,60,1447.86,117.26,0.0043,0.0031,0.0262,0.0018,0.0,0.0,2,0,0,1,0,0,54.0,0.0,0.01,0.05,7,64.0,1024.0,0.92,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.48,59711,135,6,0.238,4,1,157,43,1034.25,81.51,0.0181,0.0041,0.0168,0.0006,0.0,0.0,3,0,0,1,0,0,54.0,0.0,0.01,0.05,8,64.0,1024.0,0.687,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.25,59323,139,6,0.286,2,0,81,1,615.53,147.91,0.0126,0.004,0.0282,0.0018,0.0,0.0,3,0,0,0,0,0,54.0,0.0,0.01,0.05,9,64.0,1024.0,1.937,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.35,57146,443,6,0.121,2,0,236,55,2425.12,33.86,0.0091,0.0013,0.0483,0.0013,0.0,0.0,1,0,0,0,0,0,54.0,0.0,0.01,0.05,10,64.0,1024.0,2.335,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.18,64377,445,6,0.045,3,1,200,52,2298.18,85.62,0.0168,0.003,0.0459,0.0016,0.0,0.0,2,0,0,1,0,0,54.0,0.0,0.01,0.05,11,64.0,1024.0,1.018,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.50,58238,1433,6,0.082,4,0,114,28,693.71,57.14,0.0062,0.0019,0.0316,0.0007,0.0,0.0,1,0,0,1,0,0,54.0,0.0,0.01,0.05,12,64.0,1024.0,1.888,PortScan,lab_timeline_recon
192.168.1.105,192.168.1.116,59994,3389,6,2.972,24,41,19200,36900,62955.46,59.34,0.0425,0.009,0.0816,0.0095,0.0059,0.0179,2,51,1,0,17,0,886.19,1265.64,0.5,1.2,2,64.0,64240.0,7.394,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.116,56378,22,6,1.865,77,68,61600,61200,48165.3,115.38,0.0063,0.0081,0.0743,0.0046,0.0124,0.0104,2,23,1,0,5,0,1144.16,1055.14,0.5,1.2,2,64.0,64240.0,7.631,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.117,55106,445,6,0.794,47,23,37600,20700,50609.38,99.1,0.0255,0.0081,0.0904,0.0035,0.0478,0.0096,2,20,1,0,20,0,611.63,1023.65,0.5,1.2,2,64.0,64240.0,7.85,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.120,50471,445,6,1.725,61,19,48800,17100,91976.7,79.9,0.0059,0.0047,0.0301,0.007,0.0304,0.0059,2,59,1,0,13,0,1060.14,800.67,0.5,1.2,2,64.0,64240.0,7.595,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.112,59344,445,6,3.118,27,64,21600,57600,69721.08,189.33,0.0309,0.0183,0.05,0.0095,0.0139,0.0127,2,55,1,0,12,0,661.14,1163.49,0.5,1.2,2,64.0,64240.0,7.753,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.119,50497,22,6,2.601,27,65,21600,58500,66964.71,149.23,0.0081,0.0137,0.021,0.0048,0.0271,0.0098,2,38,1,0,19,0,1024.39,961.29,0.5,1.2,2,64.0,64240.0,7.677,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.118,64995,22,6,3.879,37,54,29600,48600,61134.47,159.65,0.0171,0.0173,0.0865,0.0018,0.0447,0.0064,2,44,1,0,17,0,801.84,996.58,0.5,1.2,2,64.0,64240.0,7.411,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.114,60304,22,6,2.206,42,66,33600,59400,87819.2,155.18,0.0174,0.0022,0.0958,0.0018,0.0374,0.0108,2,30,1,0,20,0,987.54,994.49,0.5,1.2,2,64.0,64240.0,7.715,Infiltration,lab_timeline_lateral
192.168.1.105,192.168.1.113,59185,3389,6,0.826,34,40,27200,36000,69893.34,120.99,0.0289,0.0097,0.0797,0.004,0.0366,0.0069,2,31,1,0,12,0,672.39,815.55,0.5,1.2,2,64.0,64240.0,7.278,Infiltration,lab_timeline_lateral
