src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_std,flag_syn_count,flag_ack_count,flag_fin_count,flag_rst_count,flag_psh_count,flag_urg_count,fwd_avg_bytes_per_pkt,bwd_avg_bytes_per_pkt,active_mean,idle_mean,port_scan_score,mean_ttl,mean_tcp_window,payload_entropy,label,dataset_source
192.168.1.49,10.0.0.138,15263,34076,6,50.23899942992953,852,236,39293,11480,1010.6292039278223,21.656482261703477,0.7147248343557657,0.30046199895057185,1.5763846182597958,0.23427584656725825,0.2428277643846562,0.43441554247033465,53,277,38,5,85,2,46.11854460093897,48.644067796610166,9.95105169371948,14.699069636358939,0.021099146321144936,73.84111821357156,13011.20438296832,5.390620518345957,BENIGN,CTU-13
192.168.1.89,10.0.0.189,36041,22247,17,67.67568515528438,185,154,61515,15401,1136.5381794585953,5.009184601857401,0.4613855445114357,0.4722843482833371,1.7771444682332627,0.4707871859416657,0.13802729960168847,0.057307749804983425,42,483,0,7,79,3,332.5135135135135,100.00649350649351,6.199705239344682,7.379493105827455,0.012412138836460815,71.9929012220762,54772.74100590078,7.426297878800651,BENIGN,CTU-13
192.168.1.110,10.0.0.177,6077,53042,6,32.95946708789648,481,218,14698,25907,1231.9677345423813,21.207867170179153,0.5454912322218904,0.28791656412701877,0.7058086159505098,0.08621754266890058,0.17315368317868501,0.05475166596498643,12,142,11,0,95,0,30.557172557172557,118.83944954128441,5.592204714068716,15.517739720161865,0.007281671131391983,76.38510567831588,4709.465534258197,0.07685045308708993,BENIGN,CTU-13
192.168.1.114,10.0.0.137,10922,11054,6,4.344233548985038,397,103,95583,47903,33029.07138441561,115.09510120992854,0.5088567275108078,0.4154260631055737,0.037100490095193714,0.20805479983349015,0.6694137204549654,0.1666269704144762,20,30,41,9,19,3,240.76322418136021,465.07766990291265,1.3954558595496398,13.998653203572292,0.09207608096794283,33.27552545619247,34655.90494021408,4.817679669948498,BENIGN,CTU-13
192.168.1.66,10.0.0.49,48758,50656,17,31.775163606845403,339,235,63364,37196,3164.735868687584,18.064423116812584,0.5386244983283588,0.2504893591945946,0.6418644960630597,0.13780335177745412,0.988322831307321,0.4549981852526775,92,279,35,0,29,2,186.91445427728613,158.2808510638298,2.507405232008332,6.960567640197459,0.057906861559120476,86.6950183350534,21035.567384390957,7.14561488885527,Botnet,CTU-13
192.168.1.209,10.0.0.87,54801,4432,17,29.05996162147085,410,393,47711,6612,1869.341766778647,27.63252100810437,0.03162784268053814,0.3873345493613392,0.5545348951857515,0.46270042651214444,0.06310121846388893,0.3617529530696447,11,22,48,5,80,4,116.36829268292684,16.82442748091603,7.206553810524435,3.1742552012514014,0.007570553700850512,99.20853436961735,31622.31700184455,6.92220314689585,BENIGN,CTU-13
192.168.1.62,10.0.0.213,25112,42201,6,22.481289960495378,703,22,97734,2384,4453.392139682802,32.249039146507435,0.19120279238407092,0.19363202063398208,1.2205018210908696,0.17247396340258,0.8522896578140353,0.19976208783751948,62,438,7,0,13,2,139.02418207681364,108.36363636363636,8.149188061893167,13.88880113874499,0.05515697729885409,96.75174627303245,3401.749476314032,5.1678074174809,BENIGN,CTU-13
192.168.1.176,10.0.0.199,34875,27420,6,72.26753429393217,31,373,2275,40606,593.3646473337674,5.590338786941583,0.428099049494105,0.2693992889879305,0.5614250840740189,0.2971889197379795,0.679395809392094,0.23629484425816158,55,284,23,6,16,4,73.38709677419355,108.8632707774799,1.4832554596563314,10.77972905752606,0.015221219469395397,110.31060389917634,29783.426083662507,5.870356778481927,BENIGN,CTU-13
192.168.1.32,10.0.0.170,12883,53398,6,52.43892605931388,580,338,91650,23132,2188.8701509670436,17.506079338117004,0.8946865308953756,0.09683672649592835,0.9995668266708032,0.264109677343268,0.5130010117515919,0.2749847861583592,2,299,29,1,82,2,158.01724137931035,68.43786982248521,3.6532948831021335,4.103313605032715,0.0007627921280225274,63.852318852606174,42243.83104305985,1.8813123536054306,BENIGN,CTU-13
192.168.1.78,10.0.0.215,5409,55811,17,93.07861836208829,441,358,46132,46604,996.319043319321,8.584141170765804,0.22247363710866652,0.35927480373000475,1.8879794213153722,0.4772035592714774,0.8077890543095427,0.04827908711695219,11,211,35,9,10,1,104.6077097505669,130.17877094972067,6.324571037035504,24.416551456537764,0.002363593313602599,52.6832834706523,8211.395016310584,0.15556024637690946,BENIGN,CTU-13
192.168.1.83,10.0.0.247,56244,60245,17,48.23968089352429,307,408,82827,44571,2640.9378677523955,14.821822755796502,0.8673965701503819,0.10910535457697287,0.16623327666863505,0.08341189772778547,0.4586570268000662,0.4770840458340015,94,471,22,9,10,0,269.7947882736156,109.24264705882354,4.512144934028349,20.19847603876308,0.038972065427828564,76.01575596603816,7966.49736343126,0.8189926241514529,Botnet,CTU-13
192.168.1.113,10.0.0.189,44670,31641,6,16.653388283996154,595,462,6662,36108,2568.2461292938096,63.470567188766815,0.176925571648362,0.32190089979621483,0.44227770435335184,0.2945180246274246,0.6463451305021636,0.48308299612252464,87,218,11,5,96,4,11.196638655462184,78.15584415584415,1.1861223025016754,22.38912699064754,0.10448324210828216,102.6931156605471,1856.4126035661382,5.908756754835825,BENIGN,CTU-13
192.168.1.77,10.0.0.205,20822,6951,6,116.0531010499337,31,344,82025,32032,982.8001058836434,3.2312794454208533,0.7573618440261257,0.29333492339293443,0.03646077328641907,0.08206921298438413,0.10232337315308994,0.33658207340822255,20,151,13,3,60,2,2645.967741935484,93.11627906976744,5.013252457671352,24.955997637925584,0.0034466980751155767,78.83097951582812,3831.10204460507,6.351672980599975,BENIGN,CTU-13
192.168.1.145,10.0.0.174,56816,33829,6,83.56681365986306,954,35,39995,38005,933.384875932672,11.834841567915547,0.2607425983670929,0.3593583111697142,1.3942866840266792,0.10802104730983927,0.8863740728246586,0.15941950820743817,95,482,35,3,4,4,41.92348008385744,1085.857142857143,4.85451637121441,18.708608559128344,0.02273629825989842,76.7162839167565,46738.62279749007,3.2753796135216406,Botnet,CTU-13
192.168.1.114,10.0.0.152,58975,35777,17,88.45136039345914,645,482,94937,13383,1224.6278578210554,12.741465987484576,0.9641202438755002,0.23972643365022947,1.6239645284141069,0.4409414850668105,0.7813243044270769,0.06014798797076288,21,138,15,8,73,2,147.1891472868217,27.765560165975103,0.7879555122644999,23.884787343385277,0.004748372417696115,113.43467492876941,8080.6882693732505,4.970307562093225,BENIGN,CTU-13
192.168.1.214,10.0.0.178,5827,63926,6,35.80950340693075,292,91,30285,35878,1847.6380207828986,10.695484817191636,0.5545679933960652,0.16491893745043615,1.2301814239737965,0.16104867716908355,0.300023548812355,0.11229825709348919,9,137,38,2,68,0,103.71575342465754,394.2637362637363,8.26157837316025,16.422206936329516,0.005026598608601813,99.87636016011606,32306.058279763645,4.247969781718101,BENIGN,CTU-13
192.168.1.239,10.0.0.8,38759,5909,6,20.948140732042926,835,177,97974,13500,5321.426919262859,48.30977665010687,0.42919428826095346,0.4961147402941543,0.8104549320766352,0.20007122062377283,0.5196844019762469,0.38860553294892186,81,263,19,8,53,0,117.33413173652694,76.27118644067797,1.4790811715502898,2.036098551492121,0.07733383218692996,121.03427635818545,25143.826879905122,6.440157574680839,BENIGN,CTU-13
192.168.1.55,10.0.0.192,36652,14593,6,72.7418070401863,525,337,36411,2518,535.1667986264573,11.850131789052023,0.6086160520541977,0.4392823272734179,1.720381016086503,0.17053676894698394,0.7982287698067213,0.09240114599961327,24,237,42,9,6,1,69.35428571428571,7.471810089020772,1.2976456070184663,20.279114840131527,0.006598681274646139,110.26031042865888,56604.59858704471,3.609110198415409,BENIGN,CTU-13
192.168.1.236,10.0.0.28,48769,58832,6,11.02673897295448,784,133,62481,2202,5866.013529353455,83.16148611562727,0.3871834952569573,0.4588028487647149,0.45655566714921436,0.06191182455404514,0.7696714199777599,0.10122346867399684,65,249,26,9,11,4,79.69515306122449,16.55639097744361,4.134236714950432,19.860083921953102,0.11789523658703974,125.59905976312598,29174.82964513491,1.3215880021986974,BENIGN,CTU-13
192.168.1.234,10.0.0.46,49876,54789,17,35.1653900348704,299,348,61772,27776,2546.4810687782274,18.398772183627923,0.5463962617252244,0.12464960767974494,1.0329976258844218,0.4449344448585158,0.6718164237731459,0.14494546250885607,8,98,12,6,80,2,206.5953177257525,79.816091954023,7.6558985678323515,23.49006269921232,0.004549928206152191,121.0146553588135,55768.7692921728,2.8993964074480694,Botnet,CTU-13
192.168.1.219,10.0.0.2,35230,15488,17,71.65365406693493,41,270,76806,40741,1640.4885630842218,4.340322961191634,0.6896535785102066,0.4788133108549392,1.5794374117358194,0.41352364214023396,0.24297346039683626,0.4623713228082085,98,350,17,4,86,0,1873.3170731707316,150.8925925925926,1.1302524102088938,1.4553968248540727,0.027353803871175572,97.74160684774117,34568.80250815379,5.343339233548825,BENIGN,CTU-13
192.168.1.82,10.0.0.63,3375,40028,6,41.97424663561763,723,361,14988,21485,868.937572998642,25.825359283045756,0.9476814404733582,0.4240238532606883,0.4174898038407494,0.017968445464279174,0.6660437096084588,0.4628303362942427,37,53,39,3,62,2,20.730290456431536,59.51523545706371,2.8362198671736443,22.1421590263217,0.017629857813149317,50.4488315584183,60063.77697350203,5.843194572811682,BENIGN,CTU-13
192.168.1.69,10.0.0.17,43875,48413,17,44.49300725609356,978,118,46840,28537,1694.1313848745683,24.63308433371621,0.7770129178776163,0.3025889662221898,0.3524310598120066,0.4070980803125784,0.5743365600987299,0.06878992278747968,85,372,36,5,35,1,47.89366053169734,241.83898305084745,9.482872171875545,14.788627044031667,0.03820825124755252,75.24438190482573,48598.456618970646,3.756473864968708,BENIGN,CTU-13
192.168.1.199,10.0.0.165,8708,10884,17,92.80899883622457,430,11,91378,40876,1425.0126782789896,4.751694399572296,0.9743157431510343,0.3823343110905536,1.6263480513630124,0.3780251981281547,0.5086170261015461,0.249398999499229,55,486,12,1,17,0,212.50697674418603,3716.0,3.031233158694546,11.783427146697308,0.011852298955849263,102.43045857572643,34265.054642082374,1.4053841735220596,Botnet,CTU-13
192.168.1.168,10.0.0.106,2761,34906,17,44.55238929330958,596,1,30977,11574,955.0778459908518,13.399954737997662,0.8270626728168334,0.16251763664584964,0.12017257182081728,0.4466285195482946,0.5549167905632019,0.19068432927990062,91,465,10,5,37,2,51.9748322147651,11574.0,0.23877897276642301,10.05961073064658,0.04085078328836808,105.12660166364851,60674.208559608465,0.16851345896392544,BENIGN,CTU-13
192.168.1.135,10.0.0.38,25299,11501,17,115.06517522997964,638,74,23879,46575,612.2964646704294,6.187797468494986,0.4579695774485062,0.23054519277386837,0.8503888126209943,0.14874349885758617,0.32533664403413753,0.2691167509844446,76,41,37,7,73,4,37.42789968652038,629.3918918918919,4.695798440387069,22.851645150882096,0.013209904708023003,82.9855267214714,2217.5859420418246,3.0713162079499323,Botnet,CTU-13
192.168.1.233,10.0.0.132,10129,42038,17,69.035546819466,566,278,99768,49288,2159.119567630781,12.225585787089278,0.6428166110164732,0.2013932776303262,1.8609381531736426,0.1497711056119154,0.3144711623152377,0.49311546770031484,91,370,49,8,54,4,176.26855123674912,177.29496402877697,1.5920989742899054,13.447431937251823,0.026363230014813374,49.07124330662767,31461.08472761757,2.848663755348219,BENIGN,CTU-13
192.168.1.90,10.0.0.253,8676,47554,17,28.804566800442714,339,470,20950,8981,1039.1060628462558,28.08582422380211,0.3901519462794901,0.4200133000235074,1.0833526983381792,0.042657700185258586,0.24673428778108505,0.13066503875468533,24,132,15,9,9,2,61.799410029498524,19.108510638297872,0.16735354976283376,21.31117299492626,0.016664024261341177,86.25334816924078,9648.497226046922,4.028744969729955,Botnet,CTU-13
